sequence	16S_rRNA_Count	metadata_NSTI
SV_303_Rhodospirillales	1	0.151854
SV_304_Oceanospirillales	1	0.248009
SV_305_Alteromonadales	1	0.45121300000000003
SV_306_MB11C04_marine_group	1	0.524576
SV_307_Rhodobacterales	5	0.00015
SV_308_Puniceicoccales	1	0.022862999999999998
SV_309_Flavobacteriales	2	0.039855
SV_30_Flavobacteriales	1	0.00015
SV_310_Rickettsiales	1	0.036463
SV_311_NA	1	0.672276
SV_312_Oceanospirillales	2	0.05619400000000001
SV_313_Rhodobacterales	1	0.071082
SV_314_Oceanospirillales	1	0.088723
SV_315_Flavobacteriales	2	0.201745
SV_316_Rickettsiales	1	0.015000999999999999
SV_317_NA	1	0.402032
SV_318_SAR11_clade	1	0.007634
SV_319_P0X4b2H11	1	0.294599
SV_31_Rhodobacterales	2	0.046422000000000005
SV_320_Rhodobacterales	1	0.064336
SV_321_Alteromonadales	1	0.1441
SV_322_Pseudomonadales	5	0.007718000000000001
SV_323_Rhodobacterales	1	0.00015
SV_324_Oceanospirillales	1	0.080774
SV_325_Rickettsiales	1	0.016061000000000002
SV_326_Rhodospirillales	1	0.230323
SV_327_Alteromonadales	1	0.101783
SV_328_Oceanospirillales	7	0.035679
SV_329_Methylophilales	1	0.047560000000000005
SV_32_Alteromonadales	4	0.140105
SV_330_Unknown_Order	1	0.43389700000000003
SV_331_Acidimicrobiales	1	1.253946
SV_332_Sphingomonadales	1	0.049497
SV_333_Oceanospirillales	1	0.0224
SV_334_Flavobacteriales	1	0.227173
SV_335_Rhodobacterales	1	0.00015
SV_336_Sphingomonadales	1	0.000101
SV_337_Rhodobacterales	1	0.015341
SV_338_NA	1	0.43975299999999995
SV_339_Rhodobacterales	2	0.046807999999999995
SV_33_Rhodobacterales	1	0.00015
SV_340_Flavobacteriales	1	0.197921
SV_341_Rhodobacterales	1	0.023521
SV_342_Flavobacteriales	1	0.43058900000000006
SV_343_Rhodospirillales	1	0.041734
SV_344_Oceanospirillales	1	0.007647
SV_345_Flavobacteriales	1	0.24137199999999998
SV_346_Flavobacteriales	1	0.00015
SV_347_NA	1	0.014821
SV_348_Rhodobacterales	1	0.05430599999999999
SV_349_Rhodobacterales	1	0.067501
SV_34_Rhodobacterales	2	0.048626
SV_350_Alteromonadales	4	0.056213
SV_351_SAR11_clade	1	0.022169
SV_352_Rhodobacterales	2	0.046671
SV_353_Flavobacteriales	2	0.301838
SV_354_Sphingobacteriales	1	0.355257
SV_355_Rhodobacterales	1	0.06855499999999999
SV_356_Flavobacteriales	2	0.190807
SV_357_Sphingomonadales	2	0.000101
SV_358_Sphingomonadales	1	0.007506999999999999
SV_359_Rhodobacterales	1	0.038626
SV_35_Rhodobacterales	1	0.023129
SV_360_Alteromonadales	1	0.253744
SV_361_Burkholderiales	5	0.007819
